expid,date,y,x
EVER00101-2000,2000-04-07,5360.0,0
EVER00101-2000,2000-04-23,6450.0,16
EVER00101-2000,2000-05-01,7200.0,24
EVER00101-2000,2000-05-24,8849.0,47
EVER00102-2000,2000-04-12,5360.0,0
EVER00102-2000,2000-04-14,6500.0,2
EVER00102-2000,2000-04-20,7900.0,8
EVER00102-2000,2000-05-24,8849.0,42
EVER00103-2000,2000-04-05,5360.0,0
EVER00103-2000,2000-04-07,6100.0,2
EVER00103-2000,2000-04-12,6400.0,7
EVER00103-2000,2000-04-22,7340.0,17
EVER00103-2000,2000-05-20,7950.0,45
EVER00103-2000,2000-05-21,8300.0,46
EVER00104-2000,2000-03-30,5360.0,0
EVER00104-2000,2000-04-07,5950.0,8
EVER00104-2000,2000-04-15,6400.0,16
EVER00104-2000,2000-05-14,7000.0,45
EVER00104-2000,2000-05-15,7950.0,46
EVER00104-2000,2000-05-16,8849.0,47
EVER00105-2000,2000-03-24,5360.0,0
EVER00105-2000,2000-04-02,6100.0,9
EVER00105-2000,2000-04-11,6400.0,18
EVER00105-2000,2000-04-25,7300.0,32
EVER00105-2000,2000-05-20,7986.0,57
EVER00105-2000,2000-05-22,8849.0,59
EVER00106-2000,2000-04-03,5360.0,0
EVER00106-2000,2000-04-07,6000.0,4
EVER00106-2000,2000-04-08,6400.0,5
EVER00106-2000,2000-04-18,7300.0,15
EVER00106-2000,2000-05-13,8000.0,40
EVER00106-2000,2000-05-16,8849.0,43
EVER00108-2000,2000-04-02,5360.0,0
EVER00108-2000,2000-04-06,7900.0,4
EVER00108-2000,2000-04-07,8300.0,5
EVER00108-2000,2000-05-21,8750.0,49
EVER00109-2000,2000-04-02,5360.0,0
EVER00109-2000,2000-04-06,6200.0,4
EVER00109-2000,2000-04-11,6500.0,9
EVER00109-2000,2000-05-05,7500.0,33
EVER00109-2000,2000-05-18,8100.0,46
EVER00109-2000,2000-05-20,8740.0,48
EVER00110-2000,2000-04-05,5360.0,0
EVER00110-2000,2000-04-11,6100.0,6
EVER00110-2000,2000-04-16,6500.0,11
EVER00110-2000,2000-05-01,7400.0,26
EVER00110-2000,2000-05-22,8849.0,47
EVER00111-2000,2000-04-14,5360.0,0
EVER00111-2000,2000-04-21,6100.0,7
EVER00111-2000,2000-04-23,6445.0,9
EVER00111-2000,2000-05-03,7055.0,19
EVER00111-2000,2000-05-21,7900.0,37
EVER00111-2000,2000-05-23,8849.0,39
EVER00112-2000,2000-04-03,5360.0,0
EVER00112-2000,2000-04-12,6300.0,9
EVER00112-2000,2000-05-06,7900.0,33
EVER00112-2000,2000-05-21,8849.0,48
EVER00113-2000,2000-04-19,5360.0,0
EVER00113-2000,2000-04-30,6100.0,11
EVER00113-2000,2000-05-05,6400.0,16
EVER00113-2000,2000-05-12,7300.0,23
EVER00113-2000,2000-05-19,7900.0,30
EVER00113-2000,2000-05-21,8826.0,32
EVER00114-2000,2000-04-14,5360.0,0
EVER00114-2000,2000-04-19,6100.0,5
EVER00114-2000,2000-04-29,6400.0,15
EVER00114-2000,2000-05-14,7300.0,30
EVER00114-2000,2000-05-15,7900.0,31
EVER00114-2000,2000-05-24,8849.0,40
EVER00116-2000,2000-04-14,5360.0,0
EVER00116-2000,2000-04-21,6100.0,7
EVER00116-2000,2000-04-22,6500.0,8
EVER00116-2000,2000-05-04,7300.0,20
EVER00116-2000,2000-05-17,7900.0,33
EVER00116-2000,2000-05-18,8849.0,34
EVER00117-2000,2000-04-01,5360.0,0
EVER00117-2000,2000-04-06,5975.0,5
EVER00117-2000,2000-04-17,6500.0,16
EVER00117-2000,2000-04-20,7200.0,19
EVER00117-2000,2000-05-20,8000.0,49
EVER00117-2000,2000-05-21,8849.0,50
EVER00118-2000,2000-04-06,5360.0,0
EVER00118-2000,2000-04-15,7900.0,9
EVER00118-2000,2000-05-17,8849.0,41
EVER00119-2000,2000-04-01,5360.0,0
EVER00119-2000,2000-04-07,6100.0,6
EVER00119-2000,2000-04-14,6500.0,13
EVER00119-2000,2000-05-20,7900.0,49
EVER00119-2000,2000-05-22,8849.0,51
EVER00120-2000,2000-04-07,5360.0,0
EVER00120-2000,2000-04-17,6400.0,10
EVER00120-2000,2000-04-25,7300.0,18
EVER00120-2000,2000-05-11,7900.0,34
EVER00120-2000,2000-05-26,8849.0,49
EVER00121-2000,2000-04-05,5360.0,0
EVER00121-2000,2000-04-11,6050.0,6
EVER00121-2000,2000-04-15,6400.0,10
EVER00121-2000,2000-04-22,7300.0,17
EVER00121-2000,2000-04-29,7950.0,24
EVER00121-2000,2000-05-16,8849.0,41
EVER00122-2000,2000-04-03,5360.0,0
EVER00122-2000,2000-04-09,6000.0,6
EVER00122-2000,2000-04-10,6400.0,7
EVER00122-2000,2000-05-17,7300.0,44
EVER00122-2000,2000-05-20,7950.0,47
EVER00122-2000,2000-05-21,8300.0,48
EVER00123-2000,2000-04-05,5360.0,0
EVER00123-2000,2000-04-11,6100.0,6
EVER00123-2000,2000-04-17,6400.0,12
EVER00123-2000,2000-04-29,7340.0,24
EVER00123-2000,2000-05-20,7950.0,45
EVER00123-2000,2000-05-22,8849.0,47
EVER00124-2000,2000-04-01,5360.0,0
EVER00124-2000,2000-04-04,7400.0,3
EVER00124-2000,2000-05-21,8750.0,50
EVER00125-2000,2000-04-05,5360.0,0
EVER00125-2000,2000-04-20,6100.0,15
EVER00125-2000,2000-04-26,6400.0,21
EVER00125-2000,2000-05-06,7340.0,31
EVER00125-2000,2000-05-20,7950.0,45
EVER00125-2000,2000-05-21,8100.0,46
EVER00126-2000,2000-04-11,5360.0,0
EVER00126-2000,2000-04-14,6100.0,3
EVER00126-2000,2000-04-16,6500.0,5
EVER00126-2000,2000-04-20,7300.0,9
EVER00126-2000,2000-05-14,7900.0,33
EVER00126-2000,2000-05-15,8750.0,34
EVER00127-2000,2000-04-09,5360.0,0
EVER00127-2000,2000-04-13,6100.0,4
EVER00127-2000,2000-04-21,6400.0,12
EVER00127-2000,2000-04-23,7130.0,14
EVER00127-2000,2000-05-20,7285.0,41
EVER00129-2000,2000-04-17,5360.0,0
EVER00129-2000,2000-04-20,5600.0,3
EVER00129-2000,2000-04-21,6300.0,4
EVER00129-2000,2000-04-25,7000.0,8
EVER00129-2000,2000-04-26,7700.0,9
EVER00129-2000,2000-05-16,8200.0,29
EVER00129-2000,2000-05-17,8849.0,30
EVER00130-2000,2000-04-13,5360.0,0
EVER00130-2000,2000-05-17,7800.0,34
EVER00130-2000,2000-05-18,8300.0,35
EVER00130-2000,2000-05-19,8849.0,36
EVER00131-2000,2000-04-12,5360.0,0
EVER00131-2000,2000-04-17,6350.0,5
EVER00131-2000,2000-04-22,7050.0,10
EVER00131-2000,2000-04-28,7800.0,16
EVER00131-2000,2000-05-19,8350.0,37
EVER00131-2000,2000-05-20,8650.0,38
EVER00133-2000,2000-04-08,5360.0,0
EVER00133-2000,2000-04-11,6400.0,3
EVER00133-2000,2000-04-20,7000.0,12
EVER00133-2000,2000-04-29,7500.0,21
EVER00133-2000,2000-05-04,7900.0,26
EVER00133-2000,2000-05-21,8300.0,43
EVER00134-2000,2000-04-11,5360.0,0
EVER00134-2000,2000-04-15,6400.0,4
EVER00134-2000,2000-04-25,7000.0,14
EVER00134-2000,2000-05-19,7500.0,38
EVER00134-2000,2000-05-27,7900.0,46
EVER00134-2000,2000-05-28,8100.0,47
EVER00136-2000,2000-04-10,5360.0,0
EVER00136-2000,2000-04-15,6400.0,5
EVER00136-2000,2000-04-20,7000.0,10
EVER00136-2000,2000-05-06,7600.0,26
EVER00136-2000,2000-05-15,7900.0,35
EVER00136-2000,2000-05-22,8300.0,42
EVER00136-2000,2000-05-28,8849.0,48
EVER00137-2000,2000-04-12,5360.0,0
EVER00137-2000,2000-04-18,6400.0,6
EVER00137-2000,2000-04-21,7100.0,9
EVER00137-2000,2000-05-05,7800.0,23
EVER00137-2000,2000-05-19,8300.0,37
EVER00137-2000,2000-05-20,8650.0,38
EVER00138-2000,2000-04-01,5360.0,0
EVER00138-2000,2000-04-10,6400.0,9
EVER00138-2000,2000-04-23,7000.0,22
EVER00138-2000,2000-05-10,7700.0,39
EVER00138-2000,2000-05-17,8300.0,46
EVER00138-2000,2000-05-18,8849.0,47
EVER00139-2000,2000-04-23,5360.0,0
EVER00139-2000,2000-04-27,6400.0,4
